HashMap;1;1417969841;Exiting 199999995;1.57;1.59;0.11;55943132023;Exiting 199999995;56.09;56.05;0.12;1382669354;Exiting 199999995;1.56;1.58;0.13;1348590053;Exiting 199999995;1.51;1.49;0.11;43123934000;Exiting 199999995;43.28;42.38;0.88;107496890000;Exiting 199999995;109.39;97.72;11.50
HashMap;2;1385583725;Exiting 199999995;1.61;1.54;0.15;55887243248;Exiting 199999995;56.04;56.00;0.12;1391592206;Exiting 199999995;1.56;1.58;0.14;1362667290;Exiting 199999995;1.56;1.52;0.13;43061816000;Exiting 199999995;43.24;42.33;0.89;107268247000;Exiting 199999995;109.12;97.70;11.24
HashMap;3;1402435214;Exiting 199999995;1.62;1.55;0.15;56475594244;Exiting 199999995;56.63;56.58;0.12;1386846297;Exiting 199999995;1.56;1.59;0.13;1457577139;Exiting 199999995;1.66;1.61;0.13;43961916000;Exiting 199999995;44.14;43.22;0.91;108206973000;Exiting 199999995;110.11;98.65;11.29
HashMap;4;1403162615;Exiting 199999995;1.63;1.56;0.15;56399590254;Exiting 199999995;56.54;56.50;0.11;1374589117;Exiting 199999995;1.55;1.57;0.14;1357935021;Exiting 199999995;1.54;1.51;0.12;43065831000;Exiting 199999995;43.22;42.33;0.86;107879618000;Exiting 199999995;109.81;98.21;11.41
HashMap;5;1407082750;Exiting 199999995;1.61;1.56;0.15;56083905420;Exiting 199999995;59.61;56.18;0.12;1385792644;Exiting 199999995;1.56;1.58;0.14;1355243601;Exiting 199999995;1.56;1.51;0.13;43098685000;Exiting 199999995;43.26;42.36;0.88;109807886000;Exiting 199999995;111.79;100.09;11.40
HashMap;6;1462192186;Exiting 199999995;1.67;1.64;0.13;56278192265;Exiting 199999995;56.43;56.39;0.12;1386126504;Exiting 199999995;1.57;1.58;0.14;1356060472;Exiting 199999995;1.54;1.51;0.12;44587060000;Exiting 199999995;44.75;43.83;0.90;117025264000;Exiting 199999995;119.19;106.82;12.15
HashMap;7;1598329586;Exiting 199999995;1.82;1.79;0.14;57194317894;Exiting 199999995;57.36;57.31;0.13;1383653116;Exiting 199999995;1.56;1.58;0.14;1340732692;Exiting 199999995;1.54;1.50;0.12;43686569000;Exiting 199999995;43.86;42.95;0.89;120180353000;Exiting 199999995;122.27;109.86;12.17
HashMap;8;1564287248;Exiting 199999995;1.79;1.75;0.14;56799538849;Exiting 199999995;56.96;56.93;0.12;1390373635;Exiting 199999995;1.57;1.59;0.14;1368016961;Exiting 199999995;1.55;1.52;0.12;44769872000;Exiting 199999995;44.93;44.02;0.89;117203198000;Exiting 199999995;119.40;106.92;12.26
HashMap;9;1649027227;Exiting 199999995;1.88;1.85;0.14;57124689703;Exiting 199999995;57.29;57.25;0.13;1392618527;Exiting 199999995;1.57;1.59;0.14;1361842411;Exiting 199999995;1.55;1.51;0.12;43752355000;Exiting 199999995;43.91;43.00;0.89;118198933000;Exiting 199999995;120.53;107.77;12.52
HashMap;10;1780582357;Exiting 199999995;2.02;1.99;0.16;57805880982;Exiting 199999995;57.99;57.93;0.13;1375429530;Exiting 199999995;1.55;1.57;0.14;1369907729;Exiting 199999995;1.57;1.52;0.12;46053452000;Exiting 199999995;46.22;45.21;0.97;117761359000;Exiting 199999995;119.88;107.38;12.19
