List;1;1059877587;Exiting 30001;1.23;1.26;0.03;67608033603;Exiting 30001;67.77;67.69;0.08;879900568;Exiting 30001;1.04;1.06;0.03;1090097097;Exiting 30001;1.26;1.25;0.04;1671780000;Exiting 30001;1.68;1.68;0.00;121153376000;Exiting 30001;123.20;111.62;11.51
List;2;906435822;Exiting 30001;1.12;1.09;0.04;67024620377;Exiting 30001;67.17;67.09;0.07;853553911;Exiting 30001;1.01;1.04;0.03;861543623;Exiting 30001;1.03;1.02;0.04;1649869000;Exiting 30001;1.66;1.66;0.00;120062194000;Exiting 30001;122.11;110.50;11.52
List;3;1003028995;Exiting 30001;1.21;1.18;0.04;67168597073;Exiting 30001;67.32;67.24;0.08;896750233;Exiting 30001;1.07;1.08;0.03;782637049;Exiting 30001;0.95;0.94;0.04;1750379000;Exiting 30001;1.76;1.75;0.00;121552721000;Exiting 30001;123.61;111.99;11.54
List;4;973018456;Exiting 30001;1.18;1.15;0.04;67152392267;Exiting 30001;67.30;67.18;0.08;816462739;Exiting 30001;0.98;1.00;0.03;890146900;Exiting 30001;1.06;1.05;0.04;1733673000;Exiting 30001;1.75;1.74;0.00;123265536000;Exiting 30001;125.35;113.59;11.64
List;5;838120853;Exiting 30001;1.03;1.01;0.04;68645808437;Exiting 30001;68.80;68.71;0.08;1069413126;Exiting 30001;1.23;1.25;0.03;770262299;Exiting 30001;0.94;0.93;0.04;1740660000;Exiting 30001;1.75;1.74;0.00;123532072000;Exiting 30001;125.58;113.88;11.62
List;6;924989803;Exiting 30001;1.13;1.09;0.04;67383281341;Exiting 30001;67.53;67.44;0.08;832096847;Exiting 30001;1.01;1.02;0.03;738422192;Exiting 30001;0.92;0.90;0.04;1608744000;Exiting 30001;1.62;1.61;0.00;123089831000;Exiting 30001;125.25;113.16;11.96
List;7;944883832;Exiting 30001;1.16;1.12;0.04;66885446800;Exiting 30001;67.04;66.96;0.08;927856411;Exiting 30001;1.10;1.12;0.03;1006357463;Exiting 30001;1.18;1.17;0.03;1875136000;Exiting 30001;1.89;1.88;0.00;120621256000;Exiting 30001;122.68;111.03;11.56
List;8;785171365;Exiting 30001;1.00;0.97;0.04;67060520786;Exiting 30001;67.21;67.13;0.07;873851825;Exiting 30001;1.03;1.06;0.03;706264124;Exiting 30001;0.88;0.87;0.04;1654306000;Exiting 30001;1.67;1.66;0.00;120571594000;Exiting 30001;122.61;111.06;11.59
List;9;1017667984;Exiting 30001;1.22;1.19;0.04;67211825379;Exiting 30001;67.36;67.28;0.08;863257412;Exiting 30001;1.02;1.05;0.03;755366206;Exiting 30001;0.94;0.93;0.04;1590180000;Exiting 30001;1.60;1.59;0.00;120525412000;Exiting 30001;122.58;110.99;11.50
List;10;837371462;Exiting 30001;1.05;1.02;0.04;67697451943;Exiting 30001;67.85;67.76;0.08;844899032;Exiting 30001;1.02;1.03;0.03;832226955;Exiting 30001;1.00;0.99;0.03;1830039000;Exiting 30001;1.84;1.83;0.00;121951701000;Exiting 30001;124.05;112.31;11.66
